Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	CS0103	The name 'FindEntityAsync' does not exist in the current context	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\UpdatePatientStatusStep.cs	60	
Error (active)	CS0103	The name 'FindEntityAsync' does not exist in the current context	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\UpdatePatientStatusStep.cs	68	
Error (active)	CS0103	The name 'FindEntityAsync' does not exist in the current context	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\UpdatePatientStatusStep.cs	109	
Error (active)	CS0103	The name 'FindEntityAsync' does not exist in the current context	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\UpdatePatientStatusStep.cs	127	
Error (active)	CS0103	The name 'FindEntityAsync' does not exist in the current context	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\UpdatePatientStatusStep.cs	182	
Error (active)	CS0103	The name 'FindEntityAsync' does not exist in the current context	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\UpdatePatientStatusStep.cs	205	
Error (active)	CS0103	The name 'FindEntityAsync' does not exist in the current context	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\AddPrescriptionItemsStep.cs	55	
Error (active)	CS0103	The name 'FindEntityAsync' does not exist in the current context	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\AddPrescriptionItemsStep.cs	271	
Error (active)	CS0103	The name 'FindEntityAsync' does not exist in the current context	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\UpdateMedicalCaseStep.cs	54	
Error (active)	CS0103	The name 'FindEntityAsync' does not exist in the current context	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\UpdateMedicalCaseStep.cs	73	
Error (active)	CS0103	The name 'FindEntityAsync' does not exist in the current context	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\UpdateMedicalCaseStep.cs	111	
Error (active)	CS0103	The name 'FindEntityAsync' does not exist in the current context	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\UpdateMedicalCaseStep.cs	130	
Error (active)	CS0103	The name 'FindEntityAsync' does not exist in the current context	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\UpdateMedicalCaseStep.cs	193	
Error (active)	CS0103	The name 'FindEntityAsync' does not exist in the current context	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\UpdateMedicalCaseStep.cs	213	
Error (active)	CS0103	The name 'FindEntityAsync' does not exist in the current context	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\ValidateCompatibilityStep.cs	198	
Error (active)	CS0103	The name 'FindEntityAsync' does not exist in the current context	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\ValidateCompatibilityStep.cs	322	
Error (active)	CS0103	The name 'FindEntityAsync' does not exist in the current context	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\ValidatePrerequisitesStep.cs	76	
